H,m,sigma,P_eq,sqq_eq,sqp_eq,spp_eq
1.0,0.01,0.01,6.669e-05,3.798e+02,-7.498e+05,1.480e+09
1.0,0.01,0.10,6.657e-04,3.811e+02,-7.573e+02,2.985e+03
1.0,0.01,0.50,3.193e-03,4.142e+02,-7.499e+00,5.935e+01
1.0,0.50,0.01,7.304e-03,5.953e-02,-3.025e+05,1.537e+12
1.0,0.50,0.10,5.042e-02,8.873e-02,-4.542e+02,2.326e+06
1.0,0.50,0.50,1.916e-01,1.289e-01,-6.036e+00,3.355e+02
1.0,1.50,0.01,9.782e-01,1.512e-07,-1.182e+01,9.258e+08
1.0,1.50,0.10,9.770e-01,5.445e-05,-3.945e+00,2.907e+05
1.0,1.50,0.50,9.601e-01,2.480e-03,-1.270e+00,7.602e+02
1.0,5.00,0.01,1.000e+00,1.770e-09,-1.572e-01,1.552e+08
1.0,5.00,0.10,1.000e+00,1.770e-06,-1.572e-01,1.552e+05
1.0,5.00,0.50,1.000e+00,2.212e-04,-1.564e-01,1.241e+03
10.0,0.01,0.01,6.667e-06,3.800e+06,-7.501e+05,1.495e+05
10.0,0.01,0.10,6.656e-05,3.812e+06,-7.575e+02,1.495e+01
10.0,0.01,0.50,3.192e-04,4.143e+06,-7.500e+00,5.922e-01
10.0,0.50,0.01,3.359e-04,1.506e+03,-7.434e+05,3.670e+08
10.0,0.50,0.10,3.342e-03,1.517e+03,-7.537e+02,3.893e+02
10.0,0.50,0.50,1.599e-02,1.653e+03,-7.484e+00,6.253e-01
10.0,1.50,0.01,1.073e-03,1.555e+02,-6.923e+05,3.083e+09
10.0,1.50,0.10,1.036e-02,1.615e+02,-7.239e+02,3.259e+03
10.0,1.50,0.50,4.870e-02,1.800e+02,-7.354e+00,8.862e-01
10.0,5.00,0.01,7.304e-03,5.953e+00,-3.025e+05,1.537e+10
10.0,5.00,0.10,5.042e-02,8.873e+00,-4.542e+02,2.326e+04
10.0,5.00,0.50,1.916e-01,1.289e+01,-6.036e+00,3.355e+00
